spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
1,0,4.46637e+09,0,0,0,90,0,0,0
2,1,2.02422e+09,0,0,0,75,0,0,0
3,2,9.31715e+10,0,0,0,1006,0,0,0
4,3,5.45427e+09,0,0,0,124,0,0,0
5,4,1.59603e+10,0,0,0,225,0,0,0
6,5,7.52001e+09,0,0,0,184,0,0,0
7,6,6.71246e+10,0,0,0,788,0,0,0
8,7,1.64749e+11,0,0,0,1650,0,0,0
9,8,7.5319e+09,0,0,0,159,0,0,0
10,9,3.57742e+09,0,0,0,72,0,0,0
11,10,1.99076e+10,0,0,0,302,0,0,0
12,11,5.95162e+09,0,0,0,127,0,0,0
13,12,2.55751e+09,0,0,0,51,0,0,0
14,13,9.28872e+09,0,0,0,198,0,0,0
15,14,4.34203e+09,0,0,0,100,0,0,0
16,15,3.12908e+10,0,0,0,750,0,0,0
17,16,3.30317e+09,0,0,0,47,0,0,0
18,17,3.98231e+09,0,0,0,92,0,0,0
19,18,7.01759e+09,0,0,0,131,0,0,0
20,19,4.96432e+09,0,0,0,88,0,0,0
21,20,1.85443e+11,0,0,0,1813,0,0,0
22,21,3.00814e+09,0,0,0,92,0,0,0
23,22,2.24477e+09,0,0,0,58,0,0,0
24,23,7.82042e+09,0,0,0,118,0,0,0
25,24,1.32042e+10,0,0,0,236,0,0,0
26,25,2.1122e+09,0,0,0,71,0,0,0
27,26,1.5785e+10,0,0,0,305,0,0,0
28,27,3.5577e+09,0,0,0,94,0,0,0
29,28,2.96478e+09,0,0,0,86,0,0,0
30,29,4.09559e+10,0,0,0,586,0,0,0
31,30,3.42828e+10,0,0,0,881,0,0,0
32,31,1.62382e+10,0,0,0,414,0,0,0
33,32,3.1545e+10,0,0,0,639,0,0,0
34,33,1.67844e+10,0,0,0,377,0,0,0
35,34,2.15575e+10,0,0,0,370,0,0,0
36,35,1.11975e+10,0,0,0,198,0,0,0
37,36,2.18451e+10,0,0,0,362,0,0,0
38,37,1.31175e+10,0,0,0,213,0,0,0
39,38,3.57831e+10,0,0,0,515,0,0,0
40,39,1.85674e+10,0,0,0,234,0,0,0
41,40,4.29069e+10,0,0,0,623,0,0,0
42,41,1.57903e+10,0,0,0,275,0,0,0
43,42,3.00837e+10,0,0,0,480,0,0,0
44,43,8.60534e+09,0,0,0,180,0,0,0
45,44,4.83022e+10,0,0,0,691,0,0,0
46,45,9.83743e+09,0,0,0,211,0,0,0
47,46,5.48695e+10,0,0,0,641,0,0,0
48,47,1.47363e+10,0,0,0,257,0,0,0
49,48,8.26729e+09,0,0,0,173,0,0,0
50,49,4.78952e+08,0,0,0,15,0,0,0
51,50,3.15955e+10,0,0,0,444,0,0,0
52,51,1.56787e+10,0,0,0,253,0,0,0
53,52,1.63926e+10,0,0,0,336,0,0,0
54,53,1.76421e+10,0,0,0,272,0,0,0
55,54,6.44937e+09,0,0,0,219,0,0,0
56,55,4.54745e+09,0,0,0,106,0,0,0
57,56,4.99257e+10,0,0,0,708,0,0,0
58,57,2.23687e+10,0,0,0,317,0,0,0
59,58,5.62005e+10,0,0,0,735,0,0,0
60,59,1.60646e+10,0,0,0,350,0,0,0
61,60,2.31206e+10,0,0,0,363,0,0,0
62,61,5.92833e+09,0,0,0,130,0,0,0
63,62,1.59198e+10,0,0,0,328,0,0,0
64,63,6.91502e+08,0,0,0,24,0,0,0
65,64,5.38827e+10,0,0,0,738,0,0,0
66,65,1.16722e+10,0,0,0,198,0,0,0
67,66,4.68679e+09,0,0,0,153,0,0,0
68,67,2.05284e+10,0,0,0,334,0,0,0
69,68,3.86993e+10,0,0,0,586,0,0,0
70,69,3.99514e+10,0,0,0,628,0,0,0
71,70,3.57946e+10,0,0,0,506,0,0,0
72,71,5.48058e+10,0,0,0,790,0,0,0
73,72,4.8572e+10,0,0,0,675,0,0,0
74,73,5.74068e+10,0,0,0,804,0,0,0
75,74,7.5644e+09,0,0,0,131,0,0,0
76,75,4.73072e+10,0,0,0,749,0,0,0
77,76,5.72169e+09,0,0,0,103,0,0,0
78,77,1.10732e+10,0,0,0,242,0,0,0
