spid,penalty
1,8.43129e+06
2,4.26037e+06
3,1.79583e+08
4,1.06559e+07
5,3.19526e+07
6,1.54286e+07
7,1.27342e+08
8,3.08561e+08
9,1.56225e+07
10,7.10446e+06
11,3.97839e+07
12,1.20781e+07
13,5.68005e+06
14,1.84607e+07
15,8.53376e+06
16,6.1115e+07
17,6.3924e+06
18,8.44323e+06
19,1.42009e+07
20,9.94047e+06
21,3.37653e+08
22,6.39255e+06
23,4.97611e+06
24,1.5543e+07
25,2.62779e+07
26,4.97313e+06
27,3.1922e+07
28,7.1017e+06
29,6.39014e+06
30,7.89446e+07
31,6.86852e+07
32,3.11808e+07
33,6.27062e+07
34,3.26068e+07
35,4.25163e+07
36,2.11281e+07
37,4.33214e+07
38,2.54902e+07
39,6.95861e+07
40,3.60349e+07
41,8.29282e+07
42,3.05597e+07
43,5.98663e+07
44,1.70451e+07
45,9.36982e+07
46,1.9187e+07
47,1.07227e+08
48,2.9049e+07
49,1.70427e+07
50,1.42038e+06
51,6.17902e+07
52,3.04546e+07
53,3.26748e+07
54,3.41017e+07
55,1.35009e+07
56,9.23348e+06
57,9.7137e+07
58,4.33373e+07
59,1.05941e+08
60,3.1884e+07
61,4.53449e+07
62,1.20126e+07
63,3.19558e+07
64,2.13013e+06
65,1.0542e+08
66,2.27393e+07
67,9.95043e+06
68,3.97871e+07
69,7.29674e+07
70,7.73048e+07
71,6.71918e+07
72,1.05051e+08
73,9.28716e+07
74,1.07562e+08
75,1.47247e+07
76,9.10209e+07
77,1.13605e+07
78,2.20303e+07
