"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,1.32701e+08,6.60085e+06,637,1261,10641,1558,1261,7822,0.146415,0,0,0,1
2,1.33976e+08,6.376e+06,616,1276,10641,1490,1276,7875,0.140024,0,0,0,1
3,1.36529e+08,6.52948e+06,631,1300,10641,1526,1300,7815,0.143408,0,0,0,1
4,1.32803e+08,6.50328e+06,623,1263,10641,1539,1263,7839,0.144629,0,0,0,1
5,1.35154e+08,6.45411e+06,625,1287,10641,1523,1287,7831,0.143126,0,0,0,1
6,1.35089e+08,6.38921e+06,616,1287,10641,1491,1287,7863,0.140118,0,0,0,1
7,1.42185e+08,6.48455e+06,618,1357,10641,1466,1357,7818,0.137769,0,0,0,1
8,1.34916e+08,6.61641e+06,635,1283,10641,1564,1283,7794,0.146979,0,0,0,1
9,1.31033e+08,6.53256e+06,627,1245,10641,1559,1245,7837,0.146509,0,0,0,1
10,1.37229e+08,6.52881e+06,623,1307,10641,1504,1307,7830,0.14134,0,0,0,1
11,1.30775e+08,6.37462e+06,616,1244,10641,1522,1244,7875,0.143032,0,0,0,1
12,1.30874e+08,6.47375e+06,616,1244,10641,1517,1244,7880,0.142562,0,0,0,1
13,1.29845e+08,6.74546e+06,654,1231,10641,1633,1231,7777,0.153463,0,0,0,1
14,1.33111e+08,6.41145e+06,620,1267,10641,1502,1267,7872,0.141152,0,0,0,1
15,1.31496e+08,6.19626e+06,605,1253,10641,1473,1253,7915,0.138427,0,0,0,1
16,1.32955e+08,6.45502e+06,618,1265,10641,1516,1265,7860,0.142468,0,0,0,1
17,1.28836e+08,6.53641e+06,635,1223,10641,1583,1223,7835,0.148764,0,0,0,1
18,1.39886e+08,6.48609e+06,626,1334,10641,1508,1334,7799,0.141716,0,0,0,1
19,1.31662e+08,6.76204e+06,639,1249,10641,1584,1249,7808,0.148858,0,0,0,1
20,1.39453e+08,6.45256e+06,621,1330,10641,1481,1330,7830,0.139179,0,0,0,1
21,1.37609e+08,6.4092e+06,618,1312,10641,1485,1312,7844,0.139555,0,0,0,1
22,1.33056e+08,6.45568e+06,623,1266,10641,1527,1266,7848,0.143502,0,0,0,1
23,1.35938e+08,6.83837e+06,639,1291,10641,1550,1291,7800,0.145663,0,0,0,1
24,1.42737e+08,6.23669e+06,603,1365,10641,1417,1365,7859,0.133164,0,0,0,1
25,1.37645e+08,6.44467e+06,618,1312,10641,1481,1312,7848,0.139179,0,0,0,1
26,1.35411e+08,6.41077e+06,618,1290,10641,1490,1290,7861,0.140024,0,0,0,1
27,1.31e+08,6.4998e+06,631,1245,10641,1558,1245,7838,0.146415,0,0,0,1
28,1.41818e+08,6.31777e+06,605,1355,10641,1427,1355,7859,0.134104,0,0,0,1
29,1.36265e+08,6.56496e+06,631,1297,10641,1535,1297,7809,0.144253,0,0,0,1
30,1.33435e+08,6.33521e+06,612,1271,10641,1488,1271,7882,0.139836,0,0,0,1
31,1.35332e+08,6.33206e+06,606,1290,10641,1449,1290,7902,0.136171,0,0,0,1
32,1.29531e+08,6.53077e+06,623,1230,10641,1537,1230,7874,0.144441,0,0,0,1
33,1.32822e+08,6.2215e+06,607,1266,10641,1478,1266,7897,0.138897,0,0,0,1
34,1.4253e+08,6.3296e+06,608,1362,10641,1431,1362,7848,0.13448,0,0,0,1
35,1.36317e+08,6.51671e+06,628,1298,10641,1527,1298,7816,0.143502,0,0,0,1
36,1.33652e+08,6.45192e+06,623,1272,10641,1513,1272,7856,0.142186,0,0,0,1
37,1.33023e+08,6.32268e+06,597,1267,10641,1445,1267,7929,0.135796,0,0,0,1
38,1.32306e+08,6.40567e+06,618,1259,10641,1513,1259,7869,0.142186,0,0,0,1
39,1.35862e+08,6.36166e+06,611,1295,10641,1474,1295,7872,0.138521,0,0,0,1
40,1.36411e+08,6.31085e+06,608,1301,10641,1464,1301,7876,0.137581,0,0,0,1
41,1.41476e+08,6.47594e+06,603,1350,10641,1423,1350,7868,0.133728,0,0,0,1
42,1.36532e+08,6.43191e+06,622,1301,10641,1503,1301,7837,0.141246,0,0,0,1
43,1.28734e+08,6.43386e+06,613,1223,10641,1497,1223,7921,0.140682,0,0,0,1
44,1.37076e+08,6.37588e+06,618,1307,10641,1489,1307,7845,0.13993,0,0,0,1
45,1.31873e+08,7.17312e+06,664,1247,10641,1668,1247,7726,0.156752,0,0,0,1
46,1.3027e+08,6.07012e+06,585,1242,10641,1413,1242,7986,0.132788,0,0,0,1
47,1.41484e+08,6.58422e+06,634,1349,10641,1522,1349,7770,0.143032,0,0,0,1
48,1.35752e+08,6.65161e+06,638,1291,10641,1548,1291,7802,0.145475,0,0,0,1
49,1.28399e+08,6.49906e+06,630,1219,10641,1581,1219,7841,0.148576,0,0,0,1
50,1.35768e+08,6.36809e+06,612,1294,10641,1468,1294,7879,0.137957,0,0,0,1
